date, pm25, pm10, o3, no2, so2, co
2022/9/17, 27, 11, , 4, , 1
2022/9/18, 30, 14, , 6, 1, 1
2022/9/19, 36, 29, , 21, 1, 4
2022/9/20, 55, 30, , 26, 1, 5
2022/9/21, 62, 24, , 22, 1, 4
2022/9/22, 58, 30, , 29, 1, 7
2022/9/23, 67, 26, , 24, 1, 4
2022/9/24, 58, 22, , 11, 1, 1
2022/9/25, 47, 21, , 6, , 1
2022/9/26, 44, 17, , 24, , 6
2022/9/27, 48, 26, , 33, 1, 8
2022/9/28, 67, 11, , 20, , 3
2022/9/29, 32, 10, , 11, , 2
2022/9/30, 27, 12, , 17, , 4
2022/10/1, 38, 18, , 16, , 4
2022/4/2, 17, 5, , 8, , 1
2022/4/3, 15, 8, , 8, , 1
2022/4/4, 24, 26, , 29, , 5
2022/4/5, 57, 15, , 16, , 1
2022/4/6, 38, 17, , 12, , 3
2022/4/7, 46, 20, , 16, 1, 2
2022/4/8, 55, 28, , 27, , 4
2022/4/9, 66, 25, , 23, , 3
2022/4/10, 63, 13, , 8, , 1
2022/4/11, 42, 22, , 24, , 3
2022/4/12, 52, 36, , 36, , 4
2022/4/13, 80, 32, , 28, , 3
2022/4/14, 71, 11, , 11, , 1
2022/4/15, 31, 16, , 5, , 1
2022/4/16, 34, 10, , 5, , 1
2022/4/17, 20, 10, , 5, , 1
2022/4/18, 23, 17, , 15, , 1
2022/4/19, 37, 24, , 19, , 2
2022/4/20, 46, 29, , 22, 1, 2
2022/4/21, 61, 28, , 23, , 2
2022/4/22, 63, 53, , 45, 1, 5
2022/4/23, 120, 42, , 25, 1, 1
2022/4/24, 64, 27, , 15, 1, 2
2022/4/25, 60, 29, , 21, , 2
2022/4/26, 54, 39, , 32, 27, 4
2022/4/27, 79, 54, , 47, 1, 5
2022/4/28, 110, 54, , 40, 1, 4
2022/4/29, 104, 26, , 18, , 2
2022/4/30, 52, 9, , 12, , 2
2022/5/1, 26, 23, , 21, , 2
2022/5/2, 52, 39, , 34, 1, 3
2022/5/3, 87, 40, , 36, 1, 4
2022/5/4, 82, 29, , 24, , 2
2022/5/5, 74, 17, , 19, , 3
2022/5/6, 44, 16, , 15, , 1
2022/5/7, 32, 15, , 10, , 1
2022/5/8, 35, 12, , 6, , 1
2022/5/9, 38, 20, , 17, , 2
2022/5/10, 46, 28, , 25, , 3
2022/5/11, 63, 40, , 35, 1, 3
2022/5/12, 87, 20, , 17, , 1
2022/5/13, 47, 25, , 19, , 2
2022/5/14, 63, 24, , 17, , 1
2022/5/15, 57, 18, , 18, , 2
2022/5/16, 53, 22, , 23, , 2
2022/5/17, 59, 27, , 24, , 2
2022/5/18, 61, 21, , 18, , 2
2022/5/19, 45, 30, , 21, 1, 6
2022/5/20, 69, 47, , 30, 1, 4
2022/5/21, 100, 31, , 25, 1, 1
2022/5/22, 70, 30, , 21, 1, 2
2022/5/23, 76, 45, , 36, 2, 3
2022/5/24, 95, 51, , 40, 1, 4
2022/5/25, 108, 48, , 39, 1, 4
2022/5/26, 101, 37, , 39, 1, 6
2022/5/27, 43, 47, , 41, 1, 6
2022/5/28, 96, 52, , 33, 1, 6
2022/5/29, 112, 37, , 22, 1, 3
2022/5/30, 73, 35, , 31, 1, 5
2022/5/31, 73, 11, , 16, , 1
2022/6/1, 31, 27, , 27, , 5
2022/6/2, 68, 34, , 23, 1, 5
2022/6/3, 79, 12, , 13, , 1
2022/6/4, 33, 8, , 9, , 1
2022/6/5, 25, 17, , 12, , 2
2022/6/6, 38, 45, , 38, 1, 5
2022/6/7, 90, 40, , 33, 1, 2
2022/6/8, 82, 21, , 22, , 2
2022/6/9, 55, 24, , 20, , 3
2022/6/10, 56, 25, , 25, , 2
2022/6/11, 58, 13, , 15, , 3
2022/6/12, 38, 19, , 15, , 1
2022/6/13, 57, 24, , 20, , 4
2022/6/14, 57, 22, , 19, 1, 2
2022/6/15, 54, 37, , 28, 1, 6
2022/6/16, 77, 52, , 40, 1, 15
2022/6/17, 124, 53, , 44, 2, 
2022/6/18, 118, 20, , 13, , 1
2022/6/19, 39, 16, , 9, , 1
2022/6/20, 49, 33, , 27, 1, 7
2022/6/21, 72, 49, , 36, 1, 7
2022/6/22, 109, 46, , 40, 1, 4
2022/6/23, 95, 52, , 48, 2, 10
