date, pm25, pm10, o3, no2, so2, co
2022/4/22, 82, , 38, 20, , 5
2022/4/23, 108, , 32, 10, , 3
2022/4/24, 106, , 45, 8, , 3
2022/4/25, 78, , 37, 8, , 1
2022/4/26, 75, , 43, 16, , 3
2022/4/27, 82, , 36, 17, , 3
2022/4/28, 95, , 37, 16, , 4
2022/4/29, 135, , 18, 13, , 6
2022/4/30, 100, , 16, 6, , 1
2022/5/1, 70, , 34, 6, , 1
2022/5/2, 89, , 43, 15, , 3
2022/5/3, 95, , 34, 10, , 2
2022/5/4, 69, , 15, 10, , 1
2022/5/5, 65, , 16, 8, , 1
2022/5/6, 71, , 19, 7, , 1
2022/5/7, 77, , 18, 7, , 1
2022/5/8, 72, , 23, 4, , 1
2022/5/9, 60, , 25, 7, , 1
2022/5/10, 98, , 27, 12, , 2
2022/5/11, 123, , 29, 12, , 3
2022/5/12, 73, , 23, 8, , 1
2022/5/13, 47, , 38, 9, , 1
2022/5/14, 56, , 32, 7, , 1
2022/5/15, 57, , 31, 6, , 1
2022/5/16, 53, , 20, 8, , 1
2022/5/17, 38, , 22, 8, , 1
2022/5/18, 38, , 18, 6, , 1
2022/5/19, 24, , 11, 10, , 2
2022/5/20, 40, , 23, 15, , 6
2022/5/21, 74, , 28, 13, , 2
2022/5/22, 63, , 33, 10, , 3
2022/5/23, 66, , 29, 18, , 3
2022/5/24, 72, , 33, 18, , 3
2022/5/25, 74, , 26, 19, , 4
2022/5/26, 71, , 22, 18, , 5
2022/5/27, 79, , 27, 16, , 3
2022/5/28, 56, , 28, 18, , 7
2022/5/29, 80, , 30, 9, , 2
2022/5/30, 60, , 13, 14, , 2
2022/5/31, 59, , 13, 10, , 1
2022/6/1, 22, , 7, 15, , 3
2022/6/2, 60, , 10, 10, , 6
2022/6/3, 58, , 16, 8, , 1
2022/6/4, 24, , 18, 5, , 1
2022/6/5, 20, , 28, 8, , 2
2022/6/6, 44, , 24, 16, , 3
2022/6/7, 64, , 19, 16, , 3
2022/6/8, 61, , 8, 13, , 2
2022/6/9, 42, , 10, 15, , 3
2022/6/10, 59, , 15, 9, , 1
2022/6/11, 38, , 15, 8, , 2
2022/6/12, 30, , 21, 7, , 1
2022/6/13, 36, , 21, 10, , 2
2022/6/14, 33, , 19, 10, , 1
2022/6/15, 45, , 11, 16, , 4
2022/6/16, 64, , 25, 23, , 8
2022/6/17, 89, , 27, 19, , 8
2022/6/18, 88, , 17, 7, , 1
2022/6/19, 34, , 19, 6, , 1
2022/6/20, 45, , 12, 12, , 4
2022/6/21, 55, , 22, 17, , 5
2022/6/22, 74, , 27, 17, , 4
2022/6/23, 60, , 25, 21, , 7
2022/6/24, 65, , 38, 33, , 11
2022/6/25, 116, , 21, 19, , 8
2022/6/26, 88, , 22, 3, , 1
2022/6/27, 23, , 19, 8, , 2
2022/6/28, 40, , 25, 18, , 4
2022/6/29, 67, , 32, 15, , 4
2022/6/30, 70, , 33, 14, , 3
2022/7/1, 69, , 24, 23, , 9
2022/1/11, 46, , 29, 9, , 1
2022/1/12, 52, , 17, 10, , 1
2022/1/13, 47, , 23, 7, , 2
2022/1/14, 61, , 33, 7, , 2
2022/1/15, 89, , 46, 11, , 2
2022/1/16, 95, , 39, 7, , 1
2022/1/17, 48, , 36, 5, , 1
2022/1/18, 43, , 38, 7, , 1
2022/1/19, 84, , 48, 9, , 2
2022/1/20, 41, , 38, 9, , 2
2022/1/21, 73, , 85, 19, , 3
2022/1/22, 88, , 50, , , 2
2022/1/23, 71, , 65, , , 1
2022/1/24, 89, , 41, , , 1
2022/1/25, 114, , 44, , , 1
2022/1/26, 84, , 45, , , 1
2022/1/27, 62, , 43, , , 1
2022/1/28, 45, , 44, , , 1
2022/1/29, 55, , 19, , , 1
2022/1/30, 27, , 20, , , 1
2022/1/31, 28, , 22, , , 1
2022/2/1, 42, , 14, , , 1
2022/2/2, 29, , 18, , , 1
2022/2/12, 48, , 27, , , 1
2022/2/13, 55, , 33, , , 1
2022/2/14, 48, , 40, , , 1
2022/2/15, 75, , 58, , , 1
2022/2/16, 55, , 37, , , 1
2022/2/17, 85, , 45, , , 1
2022/2/18, 65, , 31, , , 1
2022/2/19, 52, , 37, , , 1
2022/2/20, 55, , 48, , , 1
2022/2/21, 61, , 41, , , 1
2022/2/22, 72, , 58, , , 2
2022/2/23, 76, , 58, , , 2
2022/2/24, 69, , 41, , , 2
2022/2/25, 55, , 64, , , 1
2022/2/26, 71, , 61, , , 1
2022/2/27, 61, , 54, , , 1
2022/2/28, 70, , 58, , , 1
2022/3/1, 51, , 44, , , 1
2022/3/2, 55, , 38, , , 1
2022/3/18, 31, , , , , 
2022/3/19, 42, , , , , 
2022/3/20, 42, , , , , 
2022/3/21, 32, , , , , 
2022/3/22, 23, , , , , 
2022/3/23, 54, , 20, 7, , 1
2022/3/24, 45, , 35, 11, , 2
