date, pm25, pm10, o3, no2, so2, co
2022/9/20, 48, 25, , 35, , 8
2022/9/21, 60, 21, , 35, , 7
2022/9/22, 55, 22, , 30, , 9
2022/9/23, 58, 19, , 32, , 8
2022/9/24, 45, 21, , 29, 1, 6
2022/9/25, 44, 20, , 19, , 5
2022/9/26, 46, 17, , 30, , 9
2022/9/27, 50, 19, , 38, , 10
2022/9/28, 53, 4, , 39, , 9
2022/9/29, 39, 20, , 32, , 9
2022/9/30, 52, 17, , 28, , 9
2022/10/1, 48, 22, , 33, , 10
2022/4/2, 39, 9, , 25, , 8
2022/4/3, 29, 10, , 17, , 8
2022/4/4, 32, 17, , 25, , 9
2022/4/5, 42, 14, , 29, , 11
2022/4/6, 42, 18, , 30, 1, 10
2022/4/7, 53, 21, , 28, 1, 10
2022/4/8, 54, 26, , 29, , 10
2022/4/9, 58, 21, , 29, , 11
2022/4/10, 54, 16, , 25, , 10
2022/4/11, 48, 23, , 29, , 11
2022/4/12, 53, 29, , 29, , 12
2022/4/13, 63, 24, , 31, , 13
2022/4/14, 57, 15, , 28, , 13
2022/4/15, 40, 14, , 23, , 10
2022/4/16, 30, 12, , 21, , 9
2022/4/17, 25, , , , , 
2022/4/19, 44, 25, , 33, 1, 13
2022/4/20, 52, 32, , 37, 1, 14
2022/4/21, 63, 24, , 29, , 13
2022/4/22, 64, 41, , 44, 1, 19
2022/4/23, 94, 33, , 28, , 17
2022/4/24, 65, 22, , 28, 1, 14
2022/4/25, 56, 29, , 26, , 13
2022/4/26, 56, 34, , 34, , 15
2022/4/27, 72, 35, , 37, 1, 16
2022/4/28, 68, 41, , 39, 1, 18
2022/4/29, 75, 28, , 37, 1, 21
2022/4/30, 66, 12, , 22, , 15
2022/5/1, 36, 18, , 18, , 14
2022/5/2, 45, 37, , 45, , 18
2022/5/3, 68, 28, , 28, , 16
2022/5/4, 58, 20, , 21, , 15
2022/5/5, 50, 14, , 21, , 11
2022/5/6, 36, 18, , 31, , 7
2022/5/7, 42, 18, , 28, 1, 6
2022/5/8, 47, 12, , 18, , 4
2022/5/9, 38, 18, , 27, 1, 5
2022/5/10, 47, 26, , 29, 1, 6
2022/5/11, 60, 31, , 30, 1, 8
2022/5/12, 69, 18, , 31, , 8
2022/5/13, 48, 25, , 35, 1, 7
2022/5/14, 62, 22, , 23, , 5
2022/5/15, 58, 18, , 17, , 5
2022/5/16, 52, 16, , 25, , 7
2022/5/17, 45, 20, , 23, , 5
2022/5/18, 42, 18, , 15, , 3
2022/5/19, 30, 23, , 21, , 8
2022/5/20, 51, 37, , 38, 2, 13
2022/5/21, 80, 28, , 30, 1, 8
2022/5/22, 65, 24, , 21, 1, 8
2022/5/23, 64, 36, , 34, 1, 9
2022/5/24, 72, 34, , 36, 1, 8
