date, pm25, pm10, o3, no2, so2, co
2022/8/21, 27, 17, 22, 17, 5, 
2022/8/22, 34, 16, 22, 15, 5, 
2022/8/23, 28, 22, 24, 21, 7, 
2022/8/24, 39, 28, 19, 20, 4, 
2022/8/25, 46, 28, 27, 15, 2, 
2022/8/26, 44, 15, 21, 8, , 
2022/8/27, 35, 23, 27, 14, 1, 
2022/8/28, 45, 34, 31, 15, 2, 
2022/8/29, 55, 12, 28, 7, , 
2022/8/30, 21, 10, 24, 14, , 
2022/8/31, 30, 21, 26, 15, 1, 
2022/9/1, 38, 36, 20, 20, , 
2022/9/2, 54, 58, 32, 25, 1, 
2022/9/3, 72, 30, 22, 17, 2, 
2022/9/4, 51, 13, 11, 16, 1, 
2022/9/5, 27, 20, 18, 14, , 
2022/9/6, 40, 20, 21, 15, , 
2022/9/7, 34, 28, 1, 27, 1, 
2022/9/8, 50, 38, 18, 25, , 
2022/9/9, 69, 71, 24, 37, 1, 
2022/9/10, 106, 43, 25, 15, 1, 
2022/9/11, 70, 21, 11, 18, 1, 
2022/9/12, 37, 24, 16, 17, , 
2022/9/13, 40, 23, 23, 12, , 
2022/9/14, 43, 11, 21, 6, , 
2022/9/15, 28, 8, 18, 4, , 
2022/9/16, 17, 9, 16, 13, , 
2022/9/17, 27, 15, 20, 10, , 
2022/9/18, 31, 20, 21, 11, , 
2022/9/19, 37, 25, 26, 13, , 
2022/9/20, 43, 20, 22, 12, , 
2022/9/21, 41, 12, 22, 8, , 
2022/9/22, 25, 11, 16, 10, , 
2022/9/23, 34, 20, 26, 9, , 
2022/9/24, 30, 29, 26, 14, 1, 
2022/9/25, 42, 24, 20, 11, , 
2022/9/26, 33, 25, 12, 19, , 
2022/9/27, 57, 18, 24, 17, 1, 
2022/9/28, 47, 13, 21, 20, , 
2022/9/29, 40, 12, 10, 17, , 
2022/9/30, 34, 17, 13, 15, , 
2022/10/1, 25, 17, 15, 13, , 
2022/4/2, 17, 5, 13, 5, 3, 
2022/4/3, 19, 12, 12, 6, , 
2022/4/4, 25, 20, 15, 9, , 
2022/4/5, 40, 11, 9, 8, , 
2022/4/6, 26, 17, 13, 9, 1, 
2022/4/7, 35, 19, 11, 10, , 
2022/4/8, 33, 21, 13, 8, 1, 
2022/4/9, 37, 21, 16, 10, , 
2022/4/10, 47, 17, 14, 10, , 
2022/4/11, 41, 24, 12, 11, 1, 
2022/4/12, 37, 34, 15, 19, 1, 
2022/4/13, 59, 23, 13, , , 
2022/4/14, 45, 9, 15, , , 
2022/4/15, 24, 13, 16, 4, , 
2022/4/16, 25, 10, 11, 5, , 
2022/4/17, 27, 14, 13, 11, , 
2022/4/18, 34, 19, 11, 10, , 
2022/4/19, 33, 24, 18, 12, 1, 
2022/4/20, 43, 23, 17, 12, 1, 
2022/4/21, 43, 21, 17, 12, 1, 
2022/4/22, 41, 31, 29, 14, 1, 
2022/4/23, 55, 35, 19, 16, , 
2022/4/24, 57, 23, 18, 10, 1, 
2022/4/25, 42, 22, 17, 10, , 
2022/4/26, 38, 31, 18, 16, 1, 
2022/4/27, 55, 36, 15, 19, 1, 
2022/4/28, 67, 38, 26, 21, , 
